Anchor;A;B;Annotator00;Annotator04;Annotator02;Annotator05;Annotator06;Annotator08;Annotator07;Annotator10;Annotator01;Annotator09;Annotator03
Computation and Language;Multimedia;Numerical Analysis;['B'];;;;;['0'];;['0'];['0'];['A'];
Computation and Language;Operating Systems;Artificial Intelligence;['B'];;;;;['0'];;['B'];['B'];['B'];
Computation and Language;Operating Systems;Computer Science and Game Theory;['0'];;;['0'];['B'];;['0'];;['B'];;
Computation and Language;Operating Systems;Cryptography and Security;['0'];['B'];['B'];;;;;;['B'];;['0']
Computation and Language;Operating Systems;Information Retrieval;['B'];;;;;['0'];;['B'];['B'];['B'];
Computation and Language;Operating Systems;Systems and Control;['0'];;;;;['0'];;['0'];['0'];['0'];
Computation and Language;Programming Languages;Formal Languages and Automata Theory;['B', 'B'];;;['B', 'B'];['B', 'A'];;['B', 'A'];;['B', 'B'];;
Computation and Language;Robotics;Artificial Intelligence;['B'];;;;;['B'];;['B'];['B'];['0'];
Computation and Language;Robotics;Cryptography and Security;['A'];['B'];['A'];;;;;;['0'];;['A']
Computation and Language;Robotics;Graphics;['A'];;;['0'];['A'];;['0'];;['A'];;
Computation and Language;Robotics;Information Retrieval;['B'];;;['B'];['A'];;['0'];;['B'];;
Computation and Language;Robotics;Machine Learning;['B'];;;;;['B'];;['B'];['B'];['0'];
Computation and Language;Robotics;Numerical Analysis;['B'];['A'];['A'];;;;;;['A'];;['B']
Computation and Language;Robotics;Sound;['B'];;;;;['0'];;['0'];['0'];['0'];
Computation and Language;Software Engineering;Artificial Intelligence;['B'];;;['B'];['B'];;['B'];;['B'];;
Computation and Language;Software Engineering;Computer Vision and Pattern Recognition;['B', 'B'];['B', 'B'];['B', '0'];;;;;;['B', 'B'];;['A', 'A']
Computation and Language;Software Engineering;Systems and Control;['0'];['A'];['B'];;;;;;['0'];;['A']
Computation and Language;Sound;Formal Languages and Automata Theory;['B'];;;['B'];['B'];;['B'];;['B'];;
Computation and Language;Sound;Graphics;['0'];;;['0'];['0'];;['0'];;['4'];;
Computation and Language;Sound;Information Retrieval;['B'];['B'];['B'];;;;;;['B'];;['B']
Computation and Language;Sound;Information Theory;['B'];;;;;['B'];;['0'];['0'];['A'];
Computation and Language;Sound;Mathematical Software;['B'];;;['0'];['0'];;['0'];;['0'];;
Computation and Language;Sound;Numerical Analysis;['B'];;;['0'];['B'];;['0'];;['0'];;
Computation and Language;Systems and Control;Computer Vision and Pattern Recognition;['B'];;;['0'];['0'];;['0'];;['B'];;
Computation and Language;Systems and Control;Symbolic Computation;['B'];;;['B'];['0'];;['B'];;['B'];;
Computational Complexity;Computation and Language;Artificial Intelligence;['B'];['B'];['B'];;;;;;['A'];;['A']
Computational Complexity;Computation and Language;Formal Languages and Automata Theory;['0'];['B'];['B'];;;;;;['A'];;['A']
Computational Complexity;Computation and Language;Information Theory;['B'];['B'];['B'];;;;;;['A'];;['A']
Computational Complexity;Computation and Language;Software Engineering;['0'];;;;;['B'];;['0'];['A'];['A'];
Computational Complexity;Computation and Language;Systems and Control;['A'];;;['0'];['A'];;['0'];;['A'];;
Computational Complexity;Computational Geometry;Cryptography and Security;['B'];;;['B'];['A'];;['A'];;['A'];;
Computational Complexity;Computational Geometry;Graphics;['A'];;;['0'];['A'];;['A'];;['A'];;
Computational Complexity;Computational Geometry;Information Retrieval;['A'];;;;;['0'];;['A'];['A'];['B'];
Computational Complexity;Computer Vision and Pattern Recognition;Information Retrieval;['0'];;;['B'];['0'];;['0'];;['A'];;
Computational Complexity;Cryptography and Security;Computer Vision and Pattern Recognition;['A'];;;;;['A'];;['A'];['A'];['0'];
Computational Complexity;Cryptography and Security;Mathematical Software;['A'];['B'];['A'];;;;;;['A'];;['0']
Computational Complexity;Cryptography and Security;Systems and Control;['A'];;;;;['A'];;['A'];['A'];['A'];
Computational Complexity;Databases;Computer Vision and Pattern Recognition;['0'];;;['0'];['A'];;['0'];;['B'];;
Computational Complexity;Databases;Distributed, Parallel, and Cluster Computing;['0', '0'];;;;;['B', 'B'];;['0', '0'];['0', '0'];['B', '0'];
Computational Complexity;Databases;Formal Languages and Automata Theory;['B'];;;;;['B'];;['0'];['0'];['A'];
Computational Complexity;Databases;Information Theory;['B'];;;;;['0'];;['0'];['B'];['A'];
Computational Complexity;Databases;Robotics;['0'];['A'];['B'];;;;;;['B'];;['B']
Computational Complexity;Digital Libraries;Artificial Intelligence;['B'];;;['B'];['B'];;['0'];;['B'];;
Computational Complexity;Digital Libraries;Computational Geometry;['B'];['B'];['B'];;;;;;['B'];;['0']
Computational Complexity;Digital Libraries;Information Retrieval;['B'];['B'];['B'];;;;;;['B'];;['0']
Computational Complexity;Digital Libraries;Multiagent Systems;['B'];['B'];['B'];;;;;;['0'];;['0']
Computational Complexity;Digital Libraries;Networking and Internet Architecture;['0'];['B'];['B'];;;;;;['0'];;['0']
Computational Complexity;Digital Libraries;Numerical Analysis;['B'];['B'];['B'];;;;;;['B'];;['B']
Computational Complexity;Discrete Mathematics;Artificial Intelligence;['A', 'A'];['A', 'A'];['B', 'B'];;;;;;['B', 'B'];;['A', 'B']
Computational Complexity;Discrete Mathematics;Computational Geometry;['A', 'A'];['A', 'A'];['B', 'B'];;;;;;['B', 'B'];;['A', '0']
Computational Complexity;Discrete Mathematics;Information Retrieval;['A'];;;;;['0'];;['A'];['0'];['B'];
Computational Complexity;Discrete Mathematics;Machine Learning;['A'];;;['B'];['B'];;['A'];;['B'];;
Computational Complexity;Discrete Mathematics;Operating Systems;['A'];;;;;['0'];;['A'];['0'];['A'];
Computational Complexity;Discrete Mathematics;Robotics;['A'];;;['0'];['B'];;['A'];;['B'];;
Computational Complexity;Discrete Mathematics;Sound;['A'];['A'];['A'];;;;;;['A'];;['A']
Computational Complexity;Distributed, Parallel, and Cluster Computing;Logic in Computer Science;['0'];;;;;['A'];;['0'];['B'];['A'];
Computational Complexity;Distributed, Parallel, and Cluster Computing;Robotics;['0'];;;['A'];['A'];;['0'];;['B'];;
Computational Complexity;Distributed, Parallel, and Cluster Computing;Software Engineering;['0', 'B'];['A', 'B'];['A', '0'];;;;;;['0', '0'];;['A', 'A']
Computational Complexity;Formal Languages and Automata Theory;Artificial Intelligence;['0'];;;;;['A'];;['0'];['B'];['B'];
Computational Complexity;Formal Languages and Automata Theory;Graphics;['0'];;;;;['A'];;['0'];['0'];['B'];
Computational Complexity;Formal Languages and Automata Theory;Information Retrieval;['B'];['0'];['A'];;;;;;['B'];;['A']
Computational Complexity;Formal Languages and Automata Theory;Information Theory;['B'];;;['A'];['A'];;['0'];;['A'];;
Computational Complexity;Formal Languages and Automata Theory;Mathematical Software;['0'];;;;;['A'];;['B'];['B'];['0'];
Computational Complexity;Formal Languages and Automata Theory;Networking and Internet Architecture;['0'];;;['A'];['A'];;['0'];;['A'];;
Computational Complexity;Graphics;Artificial Intelligence;['B'];['0'];['B'];;;;;;['A'];;['B']
Computational Complexity;Graphics;Computer Science and Game Theory;['B'];;;['B'];['B'];;['0'];;['B'];;
Computational Complexity;Graphics;Networking and Internet Architecture;['0'];;;;;['B'];;['0'];['0'];['A'];
Computational Complexity;Hardware Architecture;Computation and Language;['0'];;;;;['A'];;['0'];['B'];['B'];
Computational Complexity;Hardware Architecture;Discrete Mathematics;['B'];;;['B'];['B'];;['B'];;['0'];;
Computational Complexity;Hardware Architecture;Programming Languages;['B'];;;;;['A'];;['0'];['B'];['B'];
Computational Complexity;Human-Computer Interaction;Graphics;['0'];['0'];['A'];;;;;;['B'];;['0']
Computational Complexity;Human-Computer Interaction;Mathematical Software;['0'];;;;;['0'];;['B'];['B'];['A'];
Computational Complexity;Human-Computer Interaction;Networking and Internet Architecture;['0'];;;['0'];['0'];;['0'];;['0'];;
Computational Complexity;Human-Computer Interaction;Numerical Analysis;['B'];['B'];['B'];;;;;;['B'];;['0']
Computational Complexity;Information Retrieval;Artificial Intelligence;['A'];;;;;['B'];;['0'];['B'];['0'];
Computational Complexity;Information Theory;Cryptography and Security;['0'];['A'];['A'];;;;;;['B'];;['0']
Computational Complexity;Logic in Computer Science;Computer Vision and Pattern Recognition;['0'];;;;;['0'];;['0'];['B'];['0'];
Computational Complexity;Machine Learning;Computer Vision and Pattern Recognition;['A', 'A'];;;;;['A', 'A'];;['0', '0'];['A', 'A'];['0', '0'];
Computational Complexity;Machine Learning;Cryptography and Security;['B'];;;;;['B'];;['0'];['B'];['A'];
Computational Complexity;Machine Learning;Formal Languages and Automata Theory;['0'];;;['B'];['B'];;['0'];;['A'];;
Computational Complexity;Machine Learning;Information Theory;['0'];['B'];['B'];;;;;;['A'];;['A']
Computational Complexity;Machine Learning;Sound;['A'];;;;;['A'];;['0'];['A'];['A'];
Computational Complexity;Mathematical Software;Computer Science and Game Theory;['A'];;;['B'];['B'];;['0'];;['B'];;
Computational Complexity;Mathematical Software;Numerical Analysis;['B'];;;;;['B'];;['B'];['0'];['B'];
Computational Complexity;Multiagent Systems;Artificial Intelligence;['0'];;;['B'];['B'];;['0'];;['B'];;
Computational Complexity;Multiagent Systems;Computation and Language;['A'];['A'];['B'];;;;;;['B'];;['0']
Computational Complexity;Multiagent Systems;Cryptography and Security;['A'];['A'];['B'];;;;;;['B'];;['0']
Computational Complexity;Multiagent Systems;Discrete Mathematics;['B', 'B'];;;;;['A', 'A'];;['B', '0'];['B', 'B'];['A', '0'];
Computational Complexity;Multiagent Systems;Distributed, Parallel, and Cluster Computing;['0'];;;;;['B'];;['0'];['0'];['B'];
Computational Complexity;Multiagent Systems;Formal Languages and Automata Theory;['A'];['A'];['B'];;;;;;['0'];;['B']
Computational Complexity;Multiagent Systems;Human-Computer Interaction;['0'];;;['0'];['0'];;['0'];;['0'];;
Computational Complexity;Multiagent Systems;Networking and Internet Architecture;['0'];;;;;['A'];;['0'];['0'];['A'];
Computational Complexity;Multiagent Systems;Sound;['0'];;;;;['A'];;['0'];['0'];['A'];
Computational Complexity;Multiagent Systems;Systems and Control;['0'];;;['0'];['0'];;['0'];;['0'];;
Computational Complexity;Multimedia;Graphics;['0'];['0'];['B'];;;;;;['B'];;['0']
Computational Complexity;Multimedia;Information Retrieval;['B', 'B'];['B', '0'];['B', 'B'];;;;;;['0', '0'];;['B', '0']
Computational Complexity;Networking and Internet Architecture;Symbolic Computation;['B'];;;['B'];['B'];;['0'];;['0'];;
Computational Complexity;Operating Systems;Computer Vision and Pattern Recognition;['0'];;;['B'];['B'];;['0'];;['B'];;
Computational Complexity;Operating Systems;Cryptography and Security;['0'];['A'];['B'];;;;;;['B'];;['0']
Computational Complexity;Operating Systems;Mathematical Software;['B'];['B'];['B'];;;;;;['0'];;['0']
Computational Complexity;Operating Systems;Multimedia;['0'];;;['0'];['0'];;['0'];;['0'];;
Computational Complexity;Operating Systems;Networking and Internet Architecture;['0'];;;['0'];['0'];;['0'];;['0'];;
Computational Complexity;Operating Systems;Software Engineering;['B'];;;;;['0'];;['0'];['0'];['0'];
Computational Complexity;Programming Languages;Human-Computer Interaction;['0'];['A'];['B'];;;;;;['A'];;['A']
Computational Complexity;Programming Languages;Information Retrieval;['B'];['A'];['B'];;;;;;['A'];;['A']
Computational Complexity;Programming Languages;Multimedia;['0'];;;;;['0'];;['0'];['A'];['B'];
Computational Complexity;Robotics;Computer Vision and Pattern Recognition;['0'];;;['0'];['A'];;['0'];;['B'];;
