id;group;name;description;CCS1998Ids;Wikidata;DBpedia;CSO;CCS1998Names;Wikidata Description;DBpedia abstract
cs.DC;Computer Science;Distributed, Parallel, and Cluster Computing;Covers fault-tolerance, distributed algorithms, stabilility, parallel computation, and cluster computing. Roughly includes material in ACM Subject Classes C.1.2, C.1.4, C.2.4, D.1.3, D.4.5, D.4.7, E.1.;['C.1.2', 'C.1.4', 'C.2.4', 'D.1.3', 'D.4.5', 'D.4.7', 'E.1'];http://www.wikidata.org/entity/Q180634;http://dbpedia.org/resource/Distributed_computing;https://cso.kmi.open.ac.uk/topics/distributed_systems;[('Multiple Data Stream Architectures (Multiprocessors)', 'Array and vector processors', 'Associative processors', 'Connection machines', 'Interconnection architectures (e.g., common bus, multiport memory, crossbar switch)', 'Multiple-instruction-stream, multiple-data-stream processors (MIMD)', 'Parallel processors', 'Pipeline processors', 'Single-instruction-stream, multiple-data-stream processors (SIMD)'), ('Parallel Architectures', 'Distributed architectures', 'Mobile processors'), ('Distributed Systems', 'Client/server', 'Distributed applications', 'Distributed databases', 'Network operating systems'), ('Concurrent Programming', 'Distributed programming', 'Parallel programming'), ('Reliability', 'Backup procedures', 'Checkpoint/restart', 'Fault-tolerance', 'Verification'), ('Organization and Design', 'Batch processing systems', 'Distributed systems', 'Hierarchical design', 'Interactive systems', 'Real-time systems and embedded systems'), ('DATA STRUCTURES', 'Arrays', 'Distributed data structures', 'Graphs and networks', 'Lists, stacks, and queues', 'Records', 'Tables', 'Trees')];system whose components are located on different networked computers;Distributed computing is a field of computer science that studies distributed systems. A distributed system is a system whose components are located on different networked computers, which communicate and coordinate their actions by passing messages to one another. The components interact with one another in order to achieve a common goal. Three significant characteristics of distributed systems are: concurrency of components, lack of a global clock, and independent failure of components. Examples of distributed systems vary from SOA-based systems to massively multiplayer online games to peer-to-peer applications. A computer program that runs within a distributed system is called a distributed program (and distributed programming is the process of writing such programs). There are many different types of implementations for the message passing mechanism, including pure HTTP, RPC-like connectors and message queues. Distributed computing also refers to the use of distributed systems to solve computational problems. In distributed computing, a problem is divided into many tasks, each of which is solved by one or more computers, which communicate with each other via message passing.
cs.DL;Computer Science;Digital Libraries;Covers all aspects of the digital library design and document and text creation. Note that there will be some overlap with Information Retrieval (which is a separate subject area). Roughly includes material in ACM Subject Classes H.3.5, H.3.6, H.3.7, I.7.;['H.3.5', 'H.3.6', 'H.3.7', 'I.7'];http://www.wikidata.org/wiki/Q212805;http://dbpedia.org/resource/Digital_library;https://cso.kmi.open.ac.uk/topics/digital_libraries;[('Online Information Services', 'Commercial services', 'Data sharing', 'Web-based services'), ('Library Automation', 'Large text archives'), ('Digital Libraries', 'Collection', 'Dissemination', 'Standards', 'Systems issues', 'User issues'), ('DOCUMENT AND TEXT PROCESSING', 'General', 'Document and Text Editing', 'Document Preparation', 'Index Generation', 'Electronic Publishing', 'Document Capture', 'Miscellaneous')];;A digital library, digital repository, or digital collection, is an online database of digital objects that can include text, still images, audio, video, digital documents, or other digital media formats. Objects can consist of digitized content like print or photographs, as well as originally produced digital content like word processor files or social media posts. In addition to storing content, digital libraries provide means for organizing, searching, and retrieving the content contained in the collection. Digital libraries can vary immensely in size and scope, and can be maintained by individuals or organizations. The digital content may be stored locally, or accessed remotely via computer networks. These information retrieval systems are able to exchange information with each other through interoperability and sustainability.
cs.DM;Computer Science;Discrete Mathematics;Covers combinatorics, graph theory, applications of probability. Roughly includes material in ACM Subject Classes G.2 and G.3.;['G.2', 'G.3'];http://www.wikidata.org/entity/Q121416;http://dbpedia.org/resource/Discrete_mathematics;;[('DISCRETE MATHEMATICS', 'General', 'Combinatorics', 'Graph Theory', 'Applications', 'Miscellaneous'), ('PROBABILITY AND STATISTICS', 'Contingency table analysis', 'Correlation and regression analysis', 'Distribution functions', 'Experimental design', 'Markov processes', 'Multivariate statistics', 'Nonparametric statistics', 'Probabilistic algorithms (including Monte Carlo)', 'Queueing theory', 'Random number generation', 'Reliability and life testing', 'Renewal theory', 'Robust regression', 'Statistical computing', 'Statistical software', 'Stochastic processes', 'Survival analysis', 'Time series analysis')];study of discrete mathematical structures;"Discrete mathematics is the study of mathematical structures that are fundamentally discrete rather than continuous. In contrast to real numbers that have the property of varying ""smoothly"", the objects studied in discrete mathematics – such as integers, graphs, and statements in logic – do not vary smoothly in this way, but have distinct, separated values. Discrete mathematics therefore excludes topics in ""continuous mathematics"" such as calculus or Euclidean geometry. Discrete objects can often be enumerated by integers. More formally, discrete mathematics has been characterized as the branch of mathematics dealing with countable sets (finite sets or sets with the same cardinality as the natural numbers). However, there is no exact definition of the term ""discrete mathematics."" Indeed, discrete mathematics is described less by what is included than by what is excluded: continuously varying quantities and related notions. The set of objects studied in discrete mathematics can be finite or infinite. The term finite mathematics is sometimes applied to parts of the field of discrete mathematics that deals with finite sets, particularly those areas relevant to business. Research in discrete mathematics increased in the latter half of the twentieth century partly due to the development of digital computers which operate in discrete steps and store data in discrete bits. Concepts and notations from discrete mathematics are useful in studying and describing objects and problems in branches of computer science, such as computer algorithms, programming languages, cryptography, automated theorem proving, and software development. Conversely, computer implementations are significant in applying ideas from discrete mathematics to real-world problems, such as in operations research. Although the main objects of study in discrete mathematics are discrete objects, analytic methods from continuous mathematics are often employed as well. In university curricula, ""Discrete Mathematics"" appeared in the 1980s, initially as a computer science support course; its contents were somewhat haphazard at the time. The curriculum has thereafter developed in conjunction with efforts by ACM and MAA into a course that is basically intended to develop mathematical maturity in first-year students; therefore it is nowadays a prerequisite for mathematics majors in some universities as well. Some high-school-level discrete mathematics textbooks have appeared as well. At this level, discrete mathematics is sometimes seen as a preparatory course, not unlike precalculus in this respect. The Fulkerson Prize is awarded for outstanding papers in discrete mathematics."
cs.DS;Computer Science;Data Structures and Algorithms;Covers data structures and analysis of algorithms. Roughly includes material in ACM Subject Classes E.1, E.2, F.2.1, and F.2.2.;['E.1', 'E.2', 'F.2.1', 'F.2.2'];;;;[('DATA STRUCTURES', 'Arrays', 'Distributed data structures', 'Graphs and networks', 'Lists, stacks, and queues', 'Records', 'Tables', 'Trees'), ('DATA STORAGE REPRESENTATIONS', 'Composite structures', 'Contiguous representations', 'Hash-table representations', 'Linked representations', 'Object representation', 'Primitive data items'), ('Numerical Algorithms and Problems', 'Computation of transforms (e.g., fast Fourier transform)', 'Computations in finite fields', 'Computations on matrices', 'Computations on polynomials', 'Number-theoretic computations (e.g., factoring, primality testing)'), ('Nonnumerical Algorithms and Problems', 'Complexity of proof procedures', 'Computations on discrete structures', 'Geometrical problems and computations', 'Pattern matching', 'Routing and layout', 'Sequencing and scheduling', 'Sorting and searching')];;
cs.ET;Computer Science;Emerging Technologies;Covers approaches to information processing (computing, communication, sensing) and bio-chemical analysis based on alternatives to silicon CMOS-based technologies, such as nanoscale electronic, photonic, spin-based, superconducting, mechanical, bio-chemical and quantum technologies (this list is not exclusive). Topics of interest include (1) building blocks for emerging technologies, their scalability and adoption in larger systems, including integration with traditional technologies, (2) modeling, design and optimization of novel devices and systems, (3) models of computation, algorithm design and programming for emerging technologies.;[];;;;[];;
cs.FL;Computer Science;Formal Languages and Automata Theory;"Covers automata theory, formal language theory, grammars, and combinatorics on words. This roughly corresponds to ACM Subject Classes F.1.1, and F.4.3. Papers dealing with computational complexity should go to cs.CC; papers dealing with logic should go to cs.LO.";['F.1.1', 'F.4.3'];http://www.wikidata.org/entity/Q192161;http://dbpedia.org/resource/Formal_language;https://cso.kmi.open.ac.uk/topics/formal_languages_and_automata_theory;[('Models of Computation', 'Automata (e.g., finite, push-down, resource-bounded)', 'Bounded-action devices (e.g., Turing machines, random access machines)', 'Computability theory', 'Relations between models', 'Self-modifying machines (e.g., neural networks)', 'Unbounded-action devices (e.g., cellular automata, circuits, networks of machines)'), ('Formal Languages', 'Algebraic language theory', 'Classes defined by grammars or automata (e.g., context-free languages, regular sets, recursive sets)', 'Classes defined by resource-bounded automata', 'Decision problems', 'Operations on languages')];"set of strings of symbols that may be constrained by rules that are specific to it; words whose letters are taken from an alphabet and are well-formed according to a specific set of rules";In mathematics, computer science, and linguistics, a formal language consists of words whose letters are taken from an alphabet and are well-formed according to a specific set of rules. The alphabet of a formal language consist of symbols, letters, or tokens that concatenate into strings of the language. Each string concatenated from symbols of this alphabet is called a word, and the words that belong to a particular formal language are sometimes called well-formed words or well-formed formulas. A formal language is often defined by means of a formal grammar such as a regular grammar or context-free grammar, which consists of its formation rules. The field of formal language theory studies primarily the purely syntactical aspects of such languages—that is, their internal structural patterns. Formal language theory sprang out of linguistics, as a way of understanding the syntactic regularities of natural languages.In computer science, formal languages are used among others as the basis for defining the grammar of programming languages and formalized versions of subsets of natural languages in which the words of the language represent concepts that are associated with particular meanings or semantics. In computational complexity theory, decision problems are typically defined as formal languages, and complexity classes are defined as the sets of the formal languages that can be parsed by machines with limited computational power. In logic and the foundations of mathematics, formal languages are used to represent the syntax of axiomatic systems, and mathematical formalism is the philosophy that all of mathematics can be reduced to the syntactic manipulation of formal languages in this way.
cs.GL;Computer Science;General Literature;Covers introductory material, survey material, predictions of future trends, biographies, and miscellaneous computer-science related material. Roughly includes all of ACM Subject Class A, except it does not include conference proceedings (which will be listed in the appropriate subject area).;['A.'];;;;[('General Literature', 'GENERAL', 'INTRODUCTORY AND SURVEY', 'REFERENCE (e.g., dictionaries, encyclopedias, glossaries)', 'MISCELLANEOUS')];;
cs.GR;Computer Science;Graphics;Covers all aspects of computer graphics. Roughly includes material in all of ACM Subject Class I.3, except that I.3.5 is is likely to have Computational Geometry as the primary subject area.;['I.3'];http://www.wikidata.org/wiki/Q7600677;http://dbpedia.org/resource/Computer_graphics;https://cso.kmi.open.ac.uk/topics/interactive_computer_graphics;[('COMPUTER GRAPHICS', 'General', 'Hardware Architecture', 'Graphics Systems', 'Picture/Image Generation', 'Graphics Utilities', 'Computational Geometry and Object Modeling', 'Methodology and Techniques', 'Three-Dimensional Graphics and Realism', 'Applications', 'Miscellaneous')];;Computer graphics is the branch of computer science that deals with generating images with the aid of computers. Today, computer graphics is a core technology in digital photography, film, video games, cell phone and computer displays, and many specialized applications. A great deal of specialized hardware and software has been developed, with the displays of most devices being driven by computer graphics hardware. It is a vast and recently developed area of computer science. The phrase was coined in 1960 by computer graphics researchers Verne Hudson and William Fetter of Boeing. It is often abbreviated as CG, or typically in the context of film as computer generated imagery (CGI). Some topics in computer graphics include user interface design, sprite graphics, rendering, ray tracing, geometry processing, computer animation, vector graphics, 3D modeling, shaders, GPU design, implicit surface visualization, image processing, computational photography, scientific visualization, computational geometry and computer vision, among others. The overall methodology depends heavily on the underlying sciences of geometry, optics, physics, and perception. Computer graphics is responsible for displaying art and image data effectively and meaningfully to the consumer. It is also used for processing image data received from the physical world, such as photo and video content. Computer graphics development has had a significant impact on many types of media and has revolutionized animation, movies, advertising, video games, and graphic design in general.
cs.GT;Computer Science;Computer Science and Game Theory;Covers all theoretical and applied aspects at the intersection of computer science and game theory, including work in mechanism design, learning in games (which may overlap with Learning), foundations of agent modeling in games (which may overlap with Multiagent systems), coordination, specification and formal methods for non-cooperative computational environments. The area also deals with applications of game theory to areas such as electronic commerce.;[];http://www.wikidata.org/wiki/Q44455;http://dbpedia.org/resource/Game_theory;https://cso.kmi.open.ac.uk/topics/game_theory;[];;Game theory is the study of mathematical models of strategic interaction among rational decision-makers. It has applications in all fields of social science, as well as in logic, systems science and computer science. Originally, it addressed zero-sum games, in which each participant's gains or losses are exactly balanced by those of the other participants. Today, game theory applies to a wide range of behavioral relations, and is now an umbrella term for the science of logical decision making in humans, animals, and computers. Modern game theory began with the idea of mixed-strategy equilibria in two-person zero-sum games and its proof by John von Neumann. Von Neumann's original proof used the Brouwer fixed-point theorem on continuous mappings into compact convex sets, which became a standard method in game theory and mathematical economics. His paper was followed by the 1944 book Theory of Games and Economic Behavior, co-written with Oskar Morgenstern, which considered cooperative games of several players. The second edition of this book provided an axiomatic theory of expected utility, which allowed mathematical statisticians and economists to treat decision-making under uncertainty. Game theory was developed extensively in the 1950s by many scholars. It was explicitly applied to biology in the 1970s, although similar developments go back at least as far as the 1930s. Game theory has been widely recognized as an important tool in many fields. As of 2014, with the Nobel Memorial Prize in Economic Sciences going to game theorist Jean Tirole, eleven game theorists have won the economics Nobel Prize. John Maynard Smith was awarded the Crafoord Prize for his application of game theory to biology.
cs.HC;Computer Science;Human-Computer Interaction;Covers human factors, user interfaces, and collaborative computing. Roughly includes material in ACM Subject Classes H.1.2 and all of H.5, except for H.5.1, which is more likely to have Multimedia as the primary subject area.;['H.1.2', 'H.5'];http://www.wikidata.org/wiki/Q207434;http://dbpedia.org/resource/Human-Computer_Interaction;https://cso.kmi.open.ac.uk/topics/human-computer_interaction;[('User/Machine Systems', 'Human factors', 'Human information processing', 'Software psychology'), ('INFORMATION INTERFACES AND PRESENTATION (e.g., HCI)', 'General', 'Multimedia Information Systems', 'User Interfaces', 'Group and Organization Interfaces', 'Hypertext/Hypermedia', 'Sound and Music Computing', 'Miscellaneous')];;Human–computer interaction (HCI) studies the design and use of computer technology, focused on the interfaces between people (users) and computers. Researchers in the field of HCI observe the ways in which humans interact with computers and design technologies that let humans interact with computers in novel ways. As a field of research, human–computer interaction is situated at the intersection of computer science, behavioural sciences, design, media studies, and several other fields of study. The term was popularized by Stuart K. Card, Allen Newell, and Thomas P. Moran in their seminal 1983 book, The Psychology of Human–Computer Interaction, although the authors first used the term in 1980 and the first known use was in 1975. The term connotes that, unlike other tools with only limited uses (such as a wooden mallet, useful for hitting things, but not much else), a computer has many uses and this takes place as an open-ended dialog between the user and the computer. The notion of dialog likens human–computer interaction to human-to-human interaction, an analogy which is crucial to theoretical considerations in the field.
cs.IR;Computer Science;Information Retrieval;Covers indexing, dictionaries, retrieval, content and analysis. Roughly includes material in ACM Subject Classes H.3.0, H.3.1, H.3.2, H.3.3, and H.3.4.;['H.3.0', 'H.3.1', 'H.3.2', 'H.3.3', 'H.3.4'];http://www.wikidata.org/entity/Q816826;http://dbpedia.org/resource/Information_retrieval;https://cso.kmi.open.ac.uk/topics/information_retrieval;[('General',), ('Content Analysis and Indexing', 'Abstracting methods', 'Dictionaries', 'Indexing methods', 'Linguistic processing', 'Thesauruses'), ('Information Storage', 'File organization', 'Record classification'), ('Information Search and Retrieval', 'Clustering', 'Information filtering', 'Query formulation', 'Relevance feedback', 'Retrieval models', 'Search process', 'Selection process'), ('Systems and Software', 'Current awareness systems (selective dissemination of information--SDI)', 'Distributed systems', 'Information networks', 'Performance evaluation (efficiency and effectiveness)', 'Question-answering (fact retrieval) systems', 'User profiles and alert services')];activity of obtaining information resources relevant to an information need from a collection of information resources;"Information retrieval (IR) is the activity of obtaining information system resources that are relevant to an information need from a collection of those resources. Searches can be based on full-text or other content-based indexing. Information retrieval is the science of searching for information in a document, searching for documents themselves, and also searching for the metadata that describes data, and for databases of texts, images or sounds. Automated information retrieval systems are used to reduce what has been called information overload. An IR system is a software system that provides access to books, journals and other documents; stores and manages those documents. Web search engines are the most visible IR applications."
cs.IT;Computer Science;Information Theory;Covers theoretical and experimental aspects of information theory and coding. Includes material in ACM Subject Class E.4 and intersects with H.1.1.;['E.4', 'H.1.1'];http://www.wikidata.org/entity/Q131222;http://dbpedia.org/resource/Information_theory;https://cso.kmi.open.ac.uk/topics/information_theory;[('CODING AND INFORMATION THEORY', 'Data compaction and compression', 'Error control codes', 'Formal models of communication', 'Nonsecret encoding schemes'), ('Systems and Information Theory', 'General systems theory', 'Information theory', 'Value of information')];mathematical theory from the field of probability theory and statistics;"Information theory studies the quantification, storage, and communication of information. It was originally proposed by Claude Shannon in 1948 to find fundamental limits on signal processing and communication operations such as data compression, in a landmark paper titled ""A Mathematical Theory of Communication"". Its impact has been crucial to the success of the Voyager missions to deep space, the invention of the compact disc, the feasibility of mobile phones, the development of the Internet, the study of linguistics and of human perception, the understanding of black holes, and numerous other fields. The field is at the intersection of mathematics, statistics, computer science, physics, neurobiology, information engineering, and electrical engineering. The theory has also found applications in other areas, including statistical inference, natural language processing, cryptography, neurobiology, human vision, the evolution and function of molecular codes (bioinformatics), model selection in statistics, thermal physics, quantum computing, linguistics, plagiarism detection, pattern recognition, and anomaly detection. Important sub-fields of information theory include source coding, algorithmic complexity theory, algorithmic information theory, information-theoretic security, Grey system theory and measures of information. Applications of fundamental topics of information theory include lossless data compression (e.g. ZIP files), lossy data compression (e.g. MP3s and JPEGs), and channel coding (e.g. for DSL). Information theory is used in information retrieval, intelligence gathering, gambling, and even in musical composition. A key measure in information theory is entropy. Entropy quantifies the amount of uncertainty involved in the value of a random variable or the outcome of a random process. For example, identifying the outcome of a fair coin flip (with two equally likely outcomes) provides less information (lower entropy) than specifying the outcome from a roll of a die (with six equally likely outcomes). Some other important measures in information theory are mutual information, channel capacity, error exponents, and relative entropy."
cs.LG;Computer Science;Machine Learning;Papers on all aspects of machine learning research (supervised, unsupervised, reinforcement learning, bandit problems, and so on) including also robustness, explanation, fairness, and methodology. cs.LG is also an appropriate primary category for applications of machine learning methods.;[];http://www.wikidata.org/entity/Q2539;http://dbpedia.org/resource/Machine_learning;https://cso.kmi.open.ac.uk/topics/machine_learning;[];Scientific study of algorithms and statistical models that computer systems use to perform tasks without explicit instructions;"Machine learning (ML) is the study of computer algorithms that improve automatically through experience. It is seen as a subset of artificial intelligence. Machine learning algorithms build a mathematical model based on sample data, known as ""training data"", in order to make predictions or decisions without being explicitly programmed to do so. Machine learning algorithms are used in a wide variety of applications, such as email filtering and computer vision, where it is difficult or infeasible to develop conventional algorithms to perform the needed tasks. Machine learning is closely related to computational statistics, which focuses on making predictions using computers. The study of mathematical optimization delivers methods, theory and application domains to the field of machine learning. Data mining is a related field of study, focusing on exploratory data analysis through unsupervised learning. In its application across business problems, machine learning is also referred to as predictive analytics."
cs.LO;Computer Science;Logic in Computer Science;"Covers all aspects of logic in computer science, including finite model theory, logics of programs, modal logic, and program verification. Programming language semantics should have Programming Languages as the primary subject area. Roughly includes material in ACM Subject Classes D.2.4, F.3.1, F.4.0, F.4.1, and F.4.2; some material in F.4.3 (formal languages) may also be appropriate here, although Computational Complexity is typically the more appropriate subject area.";['D.2.4', 'F.3.1', 'F.4.0', 'F.4.1', 'F.4.2', 'F.4.3'];http://www.wikidata.org/wiki/Q8078;http://dbpedia.org/resource/Logic;https://cso.kmi.open.ac.uk/topics/formal_logic;[('Software/Program Verification', 'Assertion checkers', 'Class invariants', 'Correctness proofs', 'Formal methods', 'Model checking', 'Programming by contract', 'Reliability', 'Statistical methods', 'Validation'), ('Specifying and Verifying and Reasoning about Programs', 'Assertions', 'Invariants', 'Logics of programs', 'Mechanical verification', 'Pre- and post-conditions', 'Specification techniques'), ('General',), ('Mathematical Logic', 'Computability theory', 'Computational logic', 'Lambda calculus and related systems', 'Logic and constraint programming', 'Mechanical theorem proving', 'Modal logic', 'Model theory', 'Proof theory', 'Recursive function theory', 'Set theory', 'Temporal logic'), ('Grammars and Other Rewriting Systems', 'Decision problems', 'Grammar types (e.g., context-free, context-sensitive)', 'Parallel rewriting systems (e.g., developmental systems, L-systems)', 'Parsing', 'Thue systems'), ('Formal Languages', 'Algebraic language theory', 'Classes defined by grammars or automata (e.g., context-free languages, regular sets, recursive sets)', 'Classes defined by resource-bounded automata', 'Decision problems', 'Operations on languages')];;"Logic (from Greek: λογική, logikḗ, 'possessed of reason, intellectual, dialectical, argumentative') is the systematic study of valid rules of inference, i.e. the relations that lead to the acceptance of one proposition (the conclusion) on the basis of a set of other propositions (premises). More broadly, logic is the analysis and appraisal of arguments. There is no universal agreement as to the exact definition and boundaries of logic, hence the issue still remains one of the main subjects of research and debates in the field of philosophy of logic (see ). However, it has traditionally included the classification of arguments; the systematic exposition of the logical forms; the validity and soundness of deductive reasoning; the strength of inductive reasoning; the study of formal proofs and inference (including paradoxes and fallacies); and the study of syntax and semantics. A good argument not only possesses validity and soundness (or strength, in induction), but it also avoids circular dependencies, is clearly stated, relevant, and consistent; otherwise it is useless for reasoning and persuasion, and is classified as a fallacy. In ordinary discourse, inferences may be signified by words such as therefore, thus, hence, ergo, and so on. Historically, logic has been studied in philosophy (since ancient times) and mathematics (since the mid-19th century). More recently, logic has been studied in cognitive science, which draws on computer science, linguistics, philosophy and psychology, among other disciplines. A logician is any person, often a philosopher or mathematician, whose topic of scholarly study is logic."
cs.MA;Computer Science;Multiagent Systems;Covers multiagent systems, distributed artificial intelligence, intelligent agents, coordinated interactions. and practical applications. Roughly covers ACM Subject Class I.2.11.;['I.2.11'];http://www.wikidata.org/entity/Q529909;http://dbpedia.org/resource/Multi-agent_system;https://cso.kmi.open.ac.uk/topics/multiagent_systems;[('Distributed Artificial Intelligence', 'Coherence and coordination', 'Intelligent agents', 'Languages and structures', 'Multiagent systems')];;"A multi-agent system (MAS or ""self-organized system"") is a computerized system composed of multiple interacting intelligent agents. Multi-agent systems can solve problems that are difficult or impossible for an individual agent or a monolithic system to solve. Intelligence may include methodic, functional, procedural approaches, algorithmic search or reinforcement learning. Despite considerable overlap, a multi-agent system is not always the same as an agent-based model (ABM). The goal of an ABM is to search for explanatory insight into the collective behavior of agents (which don't necessarily need to be ""intelligent"") obeying simple rules, typically in natural systems, rather than in solving specific practical or engineering problems. The terminology of ABM tends to be used more often in the science, and MAS in engineering and technology. Applications where multi-agent systems research may deliver an appropriate approach include online trading, disaster response and social structure modelling."
cs.MM;Computer Science;Multimedia;Roughly includes material in ACM Subject Class H.5.1.;['H.5.1'];http://www.wikidata.org/entity/Q131765;http://dbpedia.org/resource/Multimedia;https://cso.kmi.open.ac.uk/topics/multimedia_systems;[('Multimedia Information Systems', 'Animations', 'Artificial, augmented, and virtual realities', 'Audio input/output', 'Evaluation/methodology', 'Hypertext navigation and maps', 'Video (e.g., tape, disk, DVI)')];content that uses a combination of different content forms;"Multimedia is content that uses a combination of different content forms such as text, audio, images, animations, video and interactive content. Multimedia contrasts with media that use only rudimentary computer displays such as text-only or traditional forms of printed or hand-produced material. Multimedia can be recorded and played, displayed, interacted with or accessed by information content processing devices, such as computerized and electronic devices, but can also be part of a live performance. Multimedia devices are electronic media devices used to store and experience multimedia content. Multimedia is distinguished from mixed media in fine art; for example, by including audio it has a broader scope. In the early years of multimedia the term ""rich media"" was synonymous with interactive multimedia, and ""hypermedia"" was an application of multimedia."
cs.MS;Computer Science;Mathematical Software;Roughly includes material in ACM Subject Class G.4.;['G.4'];http://www.wikidata.org/entity/Q1639024;http://dbpedia.org/resource/Mathematical_software;;[('MATHEMATICAL SOFTWARE', 'Algorithm design and analysis', 'Certification and testing', 'Documentation', 'Efficiency', 'Parallel and vector implementations', 'Portability', 'Reliability and robustness', 'User interfaces', 'Verification')];software to model, analyze or calculate numeric, symbolic or geometric data;"Mathematical software is software used to model, analyze or calculate numeric, symbolic or geometric data. It is a type of application software which is used for solving mathematical problems or mathematical study. There are various views to what is the mathematics, so there is various views of the category of mathematical software which used for them, over from narrow to wide sense. A type of mathematical software (math library) also used by built in the part of another scientific software. A most primary them (for example, to calculate elementary function by floating point arithmetic) may be in the category of mathematical software. They are often usually built in the general purpose systems as middleware. So to speak, mathematical software is not only an application software but also basis of another scientific software. And that is its one of the characteristic of mathematical software as that mean. Several mathematical software often have good user interface for educational purpose (see educational math software). But the core parts of solver of them direct dependent to the algorism by the mathematical knowledge. So it may be common sense that it does not process if it not well solved on mathematical construction at least. (There is physical limitation of hardware.) That is typical difference of mathematical software for another application software. Specially, it may be sure common sense that to the attention that there is a such as next case in mathematical software using: 1.  
* That is not always solvable. 2.  
* That may be solved theoretically, but most hard to solve actually or physically by computer caused by not in the polynomial time. Encryption software apply the second case."
cs.NA;Computer Science;Numerical Analysis;cs.NA is an alias for math.NA. Roughly includes material in ACM Subject Class G.1.;['G.1'];http://www.wikidata.org/entity/Q11216;http://dbpedia.org/resource/Numerical_analysis;https://cso.kmi.open.ac.uk/topics/numerical_analysis;[('NUMERICAL ANALYSIS', 'General', 'Interpolation', 'Approximation', 'Numerical Linear Algebra', 'Quadrature and Numerical Differentiation', 'Roots of Nonlinear Equations', 'Optimization', 'Ordinary Differential Equations', 'Partial Differential Equations', 'Integral Equations', 'Applications', 'Miscellaneous')];study of algorithms that use numerical approximation for the problems of mathematical analysis;"Numerical analysis is the study of algorithms that use numerical approximation (as opposed to symbolic manipulations) for the problems of mathematical analysis (as distinguished from discrete mathematics). Numerical analysis naturally finds application in all fields of engineering and the physical sciences, but in the 21st century also the life sciences, social sciences, medicine, business and even the arts have adopted elements of scientific computations. The growth in computing power has revolutionized the use of realistic mathematical models in science and engineering, and subtle numerical analysis is required to implement these detailed models of the world. For example, ordinary differential equations appear in celestial mechanics (predicting the motions of planets, stars and galaxies); numerical linear algebra is important for data analysis; stochastic differential equations and Markov chains are essential in simulating living cells for medicine and biology. Before the advent of modern computers, numerical methods often depended on hand interpolation formulas applied to data from large printed tables. Since the mid 20th century, computers calculate the required functions instead, but many of the same formulas nevertheless continue to be used as part of the software algorithms. The numerical point of view goes back to the earliest mathematical writings. A tablet from the Yale Babylonian Collection (YBC 7289), gives a sexagesimal numerical approximation of the square root of 2, the length of the diagonal in a unit square. Numerical analysis continues this long tradition: rather than exact symbolic answers, which can only be applied to real-world measurements by translation into digits, it gives approximate solutions within specified error bounds."
cs.NE;Computer Science;Neural and Evolutionary Computing;Covers neural networks, connectionism, genetic algorithms, artificial life, adaptive behavior. Roughly includes some material in ACM Subject Class C.1.3, I.2.6, I.5.;['C.1.3', 'I.2.6', 'I.5'];;;;[('Other Architecture Styles', 'Adaptable architectures', 'Analog computers', 'Capability architectures', 'Cellular architecture (e.g., mobile)', 'Data-flow architectures', 'Heterogeneous (hybrid) systems', 'High-level language architectures', 'Neural nets', 'Pipeline processors', 'Stack-oriented processors'), ('Learning', 'Analogies', 'Concept learning', 'Connectionism and neural nets', 'Induction', 'Knowledge acquisition', 'Language acquisition', 'Parameter learning'), ('PATTERN RECOGNITION', 'General', 'Models', 'Design Methodology', 'Clustering', 'Applications', 'Implementation', 'Miscellaneous')];;
cs.NI;Computer Science;Networking and Internet Architecture;Covers all aspects of computer communication networks, including network architecture and design, network protocols, and internetwork standards (like TCP/IP). Also includes topics, such as web caching, that are directly relevant to Internet architecture and performance. Roughly includes all of ACM Subject Class C.2 except C.2.4, which is more likely to have Distributed, Parallel, and Cluster Computing as the primary subject area.;['C.2'];https://www.wikidata.org/wiki/Q1301371;http://dbpedia.org/resource/Computer_network;https://cso.kmi.open.ac.uk/topics/computer_network;[('COMPUTER-COMMUNICATION NETWORKS', 'General', 'Network Architecture and Design', 'Network Protocols', 'Network Operations', 'Distributed Systems', 'Local and Wide-Area Networks', 'Internetworking', 'Miscellaneous')];;A computer network is a group of computers that use a set of common communication protocols over digital interconnections for the purpose of sharing resources located on or provided by the network nodes. The interconnections between nodes are formed from a broad spectrum of telecommunication network technologies, based on physically wired, optical, and wireless radio-frequency methods that may be arranged in a variety of network topologies. The nodes of a computer network may be classified by many means as personal computers, servers, networking hardware, or general purpose hosts. They are identified by hostnames and network addresses. Hostnames serve as memorable labels for the nodes, rarely changed after initial assignment. Network addresses serve for locating and identifying the nodes by communication protocols such as the Internet Protocol. Computer networks may be classified by many criteria, for example, the transmission medium used to carry signals, bandwidth, communications protocols to organize network traffic, the network size, the topology, traffic control mechanism, and organizational intent. The best-known computer network is the Internet. Computer networks support many applications and services, such as access to the World Wide Web, digital video, digital audio, shared use of application and storage servers, printers, and fax machines, and use of email and instant messaging applications.
cs.OH;Computer Science;Other Computer Science;This is the classification to use for documents that do not fit anywhere else.;[];;;;[];;
